kontrahent_id,nazwa,nip,regon,kraj,miasto,kod_pocztowy,ulica,email,telefon,typ,opiekun_handlowy,data_utworzenia,status
14,Pawełkiewicz-Zimniak Sp. z o.o. S.A.,4687234304,721890096,PL,Rzeszów,91647,ulica Boczna 51,kontakt@pawełkiewicz-zimniak.pl,+48 51 158 16 84,dostawca,Konstanty Łachut,2026-03-13,nieaktywny
15,Spółdzielnia Brojek S.A. sp.k.,2081219139,533550699,PL,Wieluń,74-591,ul. Bydgoska 311,kontakt@spółdzielnia.pl,+48 83 352 84 86,klient,Maks Sypek,2021-06-23,aktywny
16,Fundacja Sobuś Sp.k. sp.k.,9854353465,240529481,PL,Radom,87-670,pl. Słowackiego 513,kontakt@fundacja.pl,+48 69 423 19 11,dostawca,Rafał Jałowiec,2021-09-05,aktywny
17,SPÓŁDZIELNIA MIDURA S.A. SP. Z O.O.,,570497096,PL,Tczew,60-256,aleja Bałtycka 08,kontakt@spółdzielnia.pl,+48 89 926 93 77,klient,Tomasz Pyszny,2023-12-01,nieaktywny
18,Szóstak-Tomys Sp.j. Sp. z o.o.,2411824494,326161867,PL,Sochaczew,28-886,ul. Konwaliowa 064,kontakt@szóstak-tomys.pl,+48 37 803 91 43,oba,pan Bruno Pitala,2026-01-14,aktywny
19,FPUH Czenczek-Łyczek S.A. Sp. z o.o.,1640052420,895890631,PL,Inowrocław,38-223,ulica Księżycowa 09,kontakt@fpuh.pl,+48 81 822 64 81,klient,pan Antoni Handke,2021-10-24,aktywny
20,Kielczyk S.A. Sp. J.,2805982625,144913399,PL,Gliwice,77-070,pl. Niepodległości 93,kontakt@kielczyk.pl,+48 57 915 15 55,klient,Maksymilian Klaja,2023-05-11,aktywny
21,PPUH Zinkiewicz-Klatka Sp. z o.o. Sp.k. Spółka z o.o.,2563421603,605399561,PL,Ostrów Wielkopolski,86-734,plac Wyspiańskiego 247,kontakt@ppuh.pl,+48 36 936 68 54,dostawca,pani Kamila Łapot,2023-02-10,aktywny
22,PPUH Dmoch-Chomiuk s.c. Sp. J.,3654145865,829627019,PL,Gniezno,65272,aleja Konopnickiej 54,kontakt@ppuh.pl,+48 14 218 43 32,oba,Monika Goska,2023-07-15,aktywny
23,FPUH Ficner-Cieciora i syn s.c. sp.k.,6556981698,304095531,PL,Wyszków,68-009,pl. Tysiąclecia 24,kontakt@fpuh.pl,+48 16 825 65 10,oba,Dominik Maras,2022-10-08,aktywny
24,Spółdzielnia Adamaszek-Ziętal s.c. Sp. z o.o.,5951484655,532074125,PL,Ostrowiec Świętokrzyski,92-352,aleja Dąbrowskiej 401,kontakt@spółdzielnia.pl,+48 81 230 34 63,oba,Jacek Sych,2024-10-22,aktywny
25,Araszkiewicz i syn s.c. sp. z o.o.,994-680-44-38,561588882,PL,Włocławek,82-269,aleja Nałkowskiej 68/01,kontakt@araszkiewicz.pl,+48 70 552 66 96,klient,Krystian Hnat,2026-04-16,aktywny
26,Cofała Sp. z o.o. Sp.k. Sp. J.,2148951345,341206079,PL,Śrem,71-152,ul. Spacerowa 505,kontakt@cofała.pl,+48 29 125 15 41,dostawca,Witold Pokusa,2021-05-17,aktywny
27,Materek i syn s.c. Sp. J.,9367632017,935822550,PL,Bielawa,53-998,ul. Norwida 26,kontakt@materek.pl,+48 39 280 99 76,dostawca,Kajetan Knych,2021-02-13,aktywny
28,Gabinety Giersz Sp. z o.o.,8687277439,784683755,PL,Świecie,95-831,aleja Witosa 16/07,kontakt@gabinety.pl,+48 77 596 90 40,dostawca,Ksawery Łudzik,2025-06-28,aktywny
29,Stowarzyszenie Sobkiewicz i syn s.c. Spółka z o.o.,3455812230,511281012,PL,Głogów,29-025,pl. Niepodległości 414,kontakt@stowarzyszenie.pl,+48 38 165 63 62,dostawca,pani Melania Dudzicz,2025-10-13,aktywny
30,Stowarzyszenie Jop-Sycz Sp. z o.o. Sp.k. sp. z o.o.,6690967058,420632895,PL,Konin,75-986,plac Wolności 65/56,kontakt@stowarzyszenie.pl,+48 64 651 79 87,klient,Ernest Kopik,2026-01-12,aktywny
31,Spółdzielnia Gula-Strojna Sp.k. S.A.,8069901623,595744935,PL,Oświęcim,01-533,ul. Stefana Batorego 159,kontakt@spółdzielnia.pl,+48 17 366 58 51,klient,pani Anita Karczmarek,2025-08-28,aktywny
32,PPUH Strycharz S.A.,4641708054,340756713,PL,Bielsk Podlaski,53-335,al. Rajska 36,kontakt@ppuh.pl,+48 94 141 13 41,klient,Tymoteusz Wnuczek,2020-10-14,aktywny
33,Stowarzyszenie Gołofit-Koronkiewicz i syn s.c. sp. z o.o.,2719374528,750572325,PL,Warszawa,39-294,aleja Ściegiennego 95/77,kontakt@stowarzyszenie.pl,+48 31 418 23 84,klient,pan Juliusz Wojtczuk,2024-01-21,aktywny
34,Latko-Więckiewicz Sp. z o.o. Sp.k. S.A.,6319314915,954942461,PL,Lębork,85-649,al. Żeromskiego 43,kontakt@latko-więckiewicz.pl,+48 55 645 64 94,dostawca,Tymon Rybus,2021-05-01,aktywny
35,Pronobis Sp.j. Spółka z o.o.,2849877699,388187517,PL,Września,99-075,al. Poznańska 67/63,kontakt@pronobis.pl,+48 42 950 21 45,dostawca,Jan Troka,2023-04-17,aktywny
36,Zmyślony Sp.j. sp.k.,9650752732,480990401,PL,Siemianowice Śląskie,23-824,pl. Sienkiewicza 31/72,kontakt@zmyślony.pl,+48 54 386 86 99,dostawca,pan Albert Gasz,2020-09-02,aktywny
37,PPUH Hadaś Sp.k. sp. z o.o.,1367837778,951405188,PL,Cieszyn,55-851,al. Witosa 77/43,kontakt@ppuh.pl,+48 22 401 38 61,oba,Angelika Nowotka,2023-04-15,aktywny
38,Parda-Żach Sp. z o.o. sp.k.,5788568556,854684750,PL,Skawina,37-241,plac Krasickiego 12/23,kontakt@parda-żach.pl,+48 45 413 42 39,klient,Marcin Stochaj,2022-09-19,aktywny
39,Kokosza-Sołek Sp.j. Sp. J.,8233749893,403867539,pl,Starachowice,70-478,ul. Krakowska 690,kontakt@kokosza-sołek.pl,+48 35 403 39 56,klient,Malwina Kucz,2023-12-13,aktywny
40,Stowarzyszenie Pyszny sp.k.,0947775208,371096600,PL,Nysa,54-552,pl. Baczyńskiego 46,kontakt@stowarzyszenie.pl,+48 25 941 18 61,dostawca,pan Eryk Fechner,2021-05-22,aktywny
41,FPUH Pastuszko i syn s.c. Sp. J.,0229413183,920814900,PL,Żary,17-638,ul. Żwirki i Wigury 90/16,kontakt@fpuh.pl,+48 88 710 89 38,oba,Marcelina Ulewicz,2024-10-28,aktywny
42,Szykuła Sp.j. S.A.,4964990911,918982730,PL,Świętochłowice,28-466,plac Jana 464,kontakt@szykuła.pl,+48 91 316 43 94,klient,Natasza Kwoka,2022-04-27,aktywny
43,Grupa Knieć-Wojtak Sp.k. sp.k.,1206797401,348545713,POL,Gliwice,84-042,ulica Piękna 92,kontakt@grupa.pl,+48 47 819 68 19,oba,Hubert Winnik,2023-03-06,nieaktywny
44,Lampart S.A. Sp. J.,1024994716,603260608,PL,Żary,90-263,plac Plater 12/41,kontakt@lampart.pl,+48 62 378 74 79,dostawca,Fabian Buszko,2025-06-20,aktywny
45,Fundacja Smoczyk S.A. Sp. z o.o.,6594013994,122275263,Polska,Zabrze,76-708,pl. Wolności 49/19,kontakt@fundacja.pl,+48 84 141 32 70,oba,Mieszko Chlebda,2025-07-08,nieaktywny
46,FPUH Kościołek Sp. z o.o. sp. z o.o.,9671756557,819550381,PL,Cieszyn,83-350,aleja Rataja 65,kontakt@fpuh.pl,+48 31 437 62 98,dostawca,pan Przemysław Latuszek,2023-10-16,aktywny
47,FPUH Bździuch-Wąsala i syn s.c. S.A.,8071545165,652543518,PL,Iława,62-477,al. Rubinowa 14,kontakt@fpuh.pl,+48 95 990 79 69,dostawca,pan Albert Cholewka,2021-03-02,aktywny
48,PPUH Druszcz-Bartłomiejczyk Sp. z o.o. Sp.k. Spółka z o.o.,9770348241,570423569,PL,Bydgoszcz,64-872,plac Baczyńskiego 54,kontakt@ppuh.pl,+48 26 129 90 87,klient,pani Rozalia Solich,2022-05-02,aktywny
49,PPUH Maciocha Sp. z o.o.,8613171271,869446962,PL,Czechowice-Dziedzice,25-088,aleja Baczyńskiego 37/77,kontakt@ppuh.pl,+48 76 822 44 63,dostawca,Tomasz Kozar,2025-11-08,aktywny
50,Sady-Bednarowicz S.A. sp.k.,2639821468,464938258,PL,Zgierz,85-596,plac Nałkowskiej 56/85,kontakt@sady-bednarowicz.pl,+48 11 389 48 85,oba,pani Róża Frydel,2026-01-18,nieaktywny
51,Spółdzielnia Pizoń S.A.,8755886755,302563940,PL,Kościan,25 324,ulica Jaworowa 74,kontakt@spółdzielnia.pl,+48 84 492 39 62,klient,Oskar Michel,2024-02-16,aktywny
52,Szambelan-Sadza Sp. z o.o. Sp.k. Sp. J.,6627028950,207765664,PL,Konin,39-015,pl. Tuwima 08,kontakt@szambelan-sadza.pl,+48 23 638 68 11,oba,Hubert Bajko,2022-03-05,aktywny
53,Grupa Kasznia Sp. z o.o. Sp. J.,2174596159,824085842,PL,Ząbki,37-481,al. Klasztorna 04,kontakt@grupa.pl,+48 51 741 72 79,klient,pan Filip Masłoń,2021-04-29,aktywny
54,Grupa Wiak Sp.k. Sp. J.,4316117248,131081879,PL,Wągrowiec,07-156,aleja Jana Pawła II 18,kontakt@grupa.pl,+48 52 915 17 47,dostawca,Gaja Bancerz,2024-10-05,aktywny
55,Spółdzielnia Sztuba-Damek Sp.j. sp. z o.o.,8692221967,765408938,PL,Jarosław,57-305,al. Wyzwolenia 90/91,kontakt@spółdzielnia.pl,+48 74 697 28 39,dostawca,Bruno Dykas,2023-05-29,aktywny
56,Szczerbiak S.A. Sp. J.,0748217598,421214426,PL,Jelenia Góra,71-077,ulica Poniatowskiego 974,kontakt@szczerbiak.pl,+48 99 356 68 48,klient,Jerzy Nowotny,2024-11-14,nieaktywny
57,FPUH Malecha Sp. z o.o.,3695944066,394721069,PL,Sanok,10-704,aleja Ściegiennego 93/61,kontakt@fpuh.pl,+48 83 985 97 16,oba,Krystian Migała,2026-02-16,aktywny
58,Cabała-Kanarek S.A. Spółka z o.o.,3953394211,773728014,PL,Zgierz,77-767,al. Kasprowicza 74,kontakt@cabała-kanarek.pl ,+48 50 907 66 14,oba,Jeremi Męcik,2024-08-25,aktywny
59,Fundacja Mila-Hyży s.c. Sp. z o.o.,4562328587,638798023,PL,Białystok,56-753,plac Rynek 39,kontakt@fundacja.pl,+48 32 363 71 47,oba,Cezary Wyskiel,2024-05-10,aktywny
60,Fuławka i syn s.c. S.A.,1236851602,383960237,PL,Jelenia Góra,61-532,pl. Tuwima 96,kontakt@fuławka.pl,+48 69 477 96 96,dostawca,pan Marek Andrearczyk,2024-10-30,aktywny
61,Stowarzyszenie Pabisiak Sp.k. Spółka z o.o.,1370985939,795411453,PL,Dąbrowa Górnicza,21-338,al. Mazowiecka 68/07,kontakt@stowarzyszenie.pl,+48 92 943 69 99,dostawca,Jędrzej Deryło,2025-02-19,aktywny
62,Grupa Wygoda Sp. z o.o.,,587096273,PL,Zduńska Wola,66-845,aleja Chmielna 38,kontakt@grupa.pl,+48 96 860 99 79,dostawca,pani Krystyna Buszkiewicz,2022-04-16,nieaktywny
63,Kopciuch Sp. z o.o. Sp.k. Sp. J.,1796405370,577488537,PL,Żywiec,17-950,plac Wieniawskiego 109,kontakt@kopciuch.pl,+48 57 201 97 57,oba,Damian Dziuban,2024-07-31,aktywny
64,Grupa Sankiewicz-Drela Sp. z o.o. Spółka z o.o.,3171390050,361530104,PL,Suwałki,15-473,ulica Ceglana 48/46,kontakt@grupa.pl,+48 83 310 18 80,klient,pan Marcel Rajtar,2022-12-24,aktywny
65,Spółdzielnia Duczek-Ciuła s.c. sp. z o.o.,5290422840,957397689,PL,Kraśnik,96-901,ulica Tuwima 584,kontakt@spółdzielnia.pl,+48 25 776 13 26,klient,Ryszard Mizia,2024-07-29,aktywny
66,Gabinety Miksza sp. z o.o.,1177589171,640992677,PL,Augustów,85-502,aleja Szymanowskiego 558,kontakt@gabinety.pl,+48 89 144 94 76,dostawca,Agnieszka Przewoźniak,2025-09-11,aktywny
67,Brachaczek-Jaskóła s.c. Sp. z o.o.,0766177113,445864933,PL,Kutno,30-877,ul. Letniskowa 76/62,kontakt@brachaczek-jaskóła.pl,+48 19 229 45 89,oba,pan Wiktor Ornat,2024-03-15,aktywny
68,Stowarzyszenie Kominiak-Pietrek i syn s.c. sp.k.,8478961189,873995963,PL,Bolesławiec,13539,ul. Prosta 217,kontakt@stowarzyszenie.pl,+48 66 562 39 62,dostawca,Natan Markiel,2025-08-23,aktywny
69,FPUH Koczy i syn s.c. Sp. J.,1565452719,197951867,PL,Starachowice,87-880,al. Krasickiego 78/09,kontakt@fpuh.pl,+48 22 542 22 57,klient,Marek Gadzała,2021-03-25,aktywny
70,Spółdzielnia Pyś sp.k.,8516560499,435489452,PL,Ruda Śląska,56-101,pl. Kasprowicza 40,kontakt@spółdzielnia.pl,+48 24 691 74 37,klient,Arkadiusz Wyroślak,2025-12-19,aktywny
71,Zapaśnik Sp. z o.o. Sp.k. Sp. z o.o.,5851493689,924024405,PL,Rumia,56150,aleja Szarych Szeregów 22/21,kontakt@zapaśnik.pl,+48 88 773 98 44,klient,Tadeusz Wochna,2022-07-31,aktywny
72,Spółdzielnia Gosek-Bazyluk Sp.k. Spółka z o.o.,5502296128,895609471,PL,Stalowa Wola,59-262,pl. Jana Sobieskiego 482,kontakt@spółdzielnia.pl,+48 22 864 77 37,dostawca,Sara Korzonek,2025-04-07,aktywny
73,Stowarzyszenie Luberda-Mosiołek Sp.k. sp. z o.o.,5459910226,910069356,PL,Przemyśl,59-866,plac Władysława Łokietka 136,kontakt@stowarzyszenie.pl,+48 97 183 44 66,oba,pani Sylwia Matura,2025-04-24,aktywny
74,Ciechowicz Sp.k. S.A.,6438156144,828230915,PL,Otwock,36-009,ul. Plater 74/39,kontakt@ciechowicz.pl,+48 78 783 49 15,klient,pani Krystyna Kunysz,2024-12-27,nieaktywny
75,Stowarzyszenie Gebauer-Rudyk Sp.k. Sp. z o.o.,0343244517,108299923,PL,Płońsk,85-698,ulica Daszyńskiego 04/70,kontakt@stowarzyszenie.pl,+48 66 279 26 58,oba,pani Klara Erdmann,2023-02-20,aktywny
76,FPUH Dubis Sp. J.,5160607156,718216692,PL,Jelenia Góra,26-136,al. Krasińskiego 42/47,kontakt@fpuh,+48 84 514 91 63,dostawca,Natan Bochnia,2021-11-06,aktywny
77,Fidura Sp. z o.o. Spółka z o.o.,9681645351,936571442,PL,Koszalin,97-990,aleja Solidarności 51/60,kontakt@fidura.pl,+48 20 622 91 24,oba,Julita Topa,2026-04-11,aktywny
78,Stowarzyszenie Heczko Sp.k. Spółka z o.o.,955-271-77-46,955052486,PL,Wałcz,34-599,al. Malinowa 37/09,kontakt@stowarzyszenie.pl,+48 86 157 55 74,klient,pani Bianka Pakosz,2024-01-15,aktywny
79,FPUH Pacyga Sp.k. Sp. z o.o.,0541199869,596832859,pl,Sieradz,15-144,ulica Willowa 113,kontakt@fpuh.pl,+48 68 929 83 93,klient,Tobiasz Chalimoniuk,2024-02-29,aktywny
80,FPUH Katana sp.k.,2071518202,366012797,PL,Sandomierz,70-430,ul. Korczaka 17/96,kontakt@fpuh.pl,+48 67 636 76 88,klient,Filip Pacholczak,2024-08-21,aktywny
81,Spółdzielnia Panicz Spółka z o.o.,6659051515,699108439,PL,Mińsk Mazowiecki,31-876,plac Długosza 850,kontakt@spółdzielnia.pl,+48 47 358 94 87,klient,Jacek Warczak,2024-04-18,aktywny
82,Dorna i syn s.c. Sp. J.,2546291486,504456327,PL,Sanok,12-679,ulica Sienkiewicza 329,kontakt@dorna.pl,+48 27 786 99 97,oba,Krzysztof Dąbkiewicz,2021-08-09,aktywny
83,Spółdzielnia Szwałek-Lesner i syn s.c. S.A.,3322141883,996703082,PL,Pabianice,43-793,ulica Tuwima 28,kontakt@spółdzielnia.pl,+48 95 444 89 26,oba,Tymoteusz Malesza,2024-10-13,aktywny
84,Dyś Sp. z o.o. sp. z o.o.,9270653797,405939035,Polska,Tarnobrzeg,31-603,plac Partyzantów 026,kontakt@dyś.pl,+48 40 646 40 49,dostawca,Wiktor Teodorowicz,2022-09-25,aktywny
85,Gabinety Mikita s.c. sp.k.,7746886235,960345542,PL,Luboń,14-463,ul. Popiełuszki 84,kontakt@gabinety.pl,+48 43 153 92 71,dostawca,pan Antoni Wojewódka,2021-09-16,aktywny
86,Fundacja Oczko Sp. z o.o. sp.k.,1412478266,198476695,PL,Oleśnica,92-932,ul. Wesoła 921,kontakt@fundacja.pl,+48 68 457 13 63,klient,Jacek Zębik,2025-01-01,aktywny
87,PPUH Lisoń-Stanuch Sp.j. sp. z o.o.,6153051528,247746438,PL,Giżycko,68-302,al. Jesionowa 18/36,kontakt@ppuh.pl,+48 47 949 70 99,klient,pan Gabriel Matraszek,2025-10-26,aktywny
88,Fundacja Bieszke Sp.k. Sp. z o.o.,,219385981,PL,Rybnik,41-438,plac Kołłątaja 71,kontakt@fundacja.pl,+48 41 408 25 16,klient,Karol Gruszczyk,2025-04-07,aktywny
89,Grupa Tadych Sp.k. sp.k.,7117980897,359779090,POL,Rumia,17-570,aleja Jasna 560,kontakt@grupa.pl,+48 48 539 10 88,dostawca,Fabian Szyguła,2023-04-04,aktywny
90,Mijas s.c. sp. z o.o.,1851888888,121833792,PL,Gniezno,20-673,ul. Malinowa 851,kontakt@mijas.pl,+48 71 144 91 59,dostawca,Anita Pakos,2023-05-27,aktywny
91,Gabinety Żugaj i syn s.c. Spółka z o.o.,153-195-20-53,686277792,PL,Brodnica,79-692,pl. Plater 40/24,kontakt@gabinety.pl,+48 93 279 97 69,oba,Natan Żyrek,2025-12-04,aktywny
92,Bączkiewicz i syn s.c. sp. z o.o.,1704303059,432941445,PL,Koszalin,73-674,ul. Targowa 01/83,kontakt.bączkiewicz.pl,+48 80 584 42 14,oba,Sandra Chalimoniuk,2022-09-13,aktywny
93,Spółdzielnia Lipowicz Sp. z o.o.,5415667656,300593456,PL,Piekary Śląskie,93-333,ul. Sienkiewicza 29,kontakt@spółdzielnia.pl,+48 99 609 57 76,dostawca,Maksymilian Białk,2021-06-26,aktywny
94,FPUH Saran Sp.j. Sp. z o.o.,6928451152,809656613,PL,Krotoszyn,57-425,plac Malczewskiego 15/61,kontakt@fpuh.pl,+48 50 556 87 64,klient,Tola Łyczek,2025-07-15,aktywny
95,FPUH Indyk-Bulanda S.A. Sp. z o.o.,5964016583,960170255,PL,Otwock,77-057,ulica Środkowa 24,kontakt@fpuh.pl,+48 14 246 87 96,dostawca,Arkadiusz Engler,2020-12-12,aktywny
96,Klęczar Sp.k. sp. z o.o.,5569092757,499446327,PL,Nowa Sól,23-133,ul. Wiklinowa 51/60,kontakt@klęczar.pl,+48 20 687 27 77,dostawca,Kacper Bojarczuk,2025-01-08,aktywny
97,Klisz Sp. z o.o. Sp.k. Spółka z o.o.,3102786810,381080560,PL,Łuków,55-588,al. Lawendowa 60,kontakt@klisz.pl,+48 68 319 88 46,oba,pani Tola Prygiel,2026-01-24,aktywny
98,Gabinety Tuzimek Sp. z o.o. Sp.k. sp. z o.o.,1727155183,682152066,Poland,Bielsko-Biała,56-865,ulica Bociania 68/16,kontakt@gabinety.pl,+48 49 971 30 99,oba,Natan Wójcikiewicz,2022-07-06,aktywny
99,Gabinety Rozum sp.k.,3132370586,714478186,PL,Zabrze,66-649,ulica Wałowa 231,kontakt@gabinety.pl,+48 70 922 80 26,oba,Juliusz Kopczyk,2021-07-11,aktywny
100,Plona-Furgała i syn s.c. S.A.,7866912515,583156434,PL,Lubartów,84-078,aleja Powstańców Wielkopolskich 97/99,kontakt@plona-furgała.pl ,+48 98 629 54 26,oba,pani Marianna Żach,2022-08-07,aktywny
101,Bracha Sp.j. sp. z o.o.,6801824222,446454337,PL,Czerwionka-Leszczyny,39-816,plac Pułaskiego 14/77,kontakt@bracha.pl,+48 55 631 46 20,dostawca,Adam Bany,2022-10-05,aktywny
102,Grupa Jarka sp.k.,4249818293,723464439,Poland,Ruda Śląska,79-609,al. Powstańców Wielkopolskich 80/79,kontakt@grupa.pl,+48 32 774 89 87,dostawca,Kazimierz Tomal,2021-01-07,aktywny
103,PPUH Dawidczyk Sp. z o.o. Sp. z o.o.,1094396908,634764290,PL,Jarosław,14831,plac Dąbrowskiej 20/37,kontakt@ppuh.pl,+48 93 409 71 41,oba,pan Grzegorz Kempka,2025-02-10,aktywny
104,Fundacja Semik Sp. z o.o.,0276773598,254263081,PL,Łaziska Górne,44-696,ul. Grottgera 51/51,kontakt@fundacja.pl,+48 51 851 54 61,klient,Ryszard Świętoń,2024-09-17,aktywny
105,Gabinety Popielarczyk-Borkiewicz Sp. z o.o. Sp. z o.o.,5371473215,154337019,PL,Śrem,85-145,plac Staffa 62/91,kontakt@gabinety.pl,+48 60 984 88 63,klient,Melania Miękina,2022-05-08,aktywny
106,Gabinety Radko sp.k.,5327877472,124885365,PL,Świecie,90-849,pl. Skargi 68/50,kontakt@gabinety.pl,+48 61 617 68 40,klient,pani Justyna Okraska,2024-07-07,aktywny
107,Gabinety Niemira Spółka z o.o.,7974801623,383975609,PL,Mysłowice,29-141,ulica Traugutta 88,kontakt@gabinety.pl,+48 62 474 15 61,klient,Natan Westfal,2022-09-28,aktywny
108,Spółdzielnia Fryś-Klaus S.A. Spółka z o.o.,216-558-52-39,746889670,PL,Jaworzno,24-852,pl. Bolesława Krzywoustego 065,kontakt@spółdzielnia.pl,+48 75 141 15 14,klient,Sara Kuder,2024-04-17,aktywny
109,Gabinety Kalinka sp.k.,7298259524,521931770,PL,Mikołów,30 547,aleja Rejtana 359,kontakt@gabinety.pl,+48 86 444 74 75,oba,pan Ernest Ziętal,2026-01-19,aktywny
110,PPUH ANIOŁA SP.J. SPÓŁKA Z O.O.,705-516-94-07,740926818,PL,Jaworzno,26-821,ul. Floriana 075,kontakt@ppuh.pl,+48 44 771 84 83,klient,Eliza Kozień,2021-02-18,aktywny
111,Szyda Sp. z o.o. sp. z o.o.,8962309130,120333847,PL,Zambrów,21-280,ul. Bociania 37,kontakt@szyda.pl,+48 51 528 29 62,oba,pani Anastazja Lesisz,2022-11-05,aktywny
112,PPUH Pyziak S.A. sp.k.,702-838-57-85,504612520,PL,Kutno,11-384,ulica Krasickiego 52,kontakt@ppuh.pl,+48 33 570 78 53,oba,Piotr Weremczuk,2024-07-13,aktywny
113,FPUH Tyniec S.A. Sp. J.,4973348433,419561201,PL,Lubartów,91-481,ul. Poprzeczna 43,kontakt@fpuh.pl,+48 37 806 72 50,dostawca,Krystyna Białasik,2024-06-20,aktywny
114,  PPUH Szachniewicz-Nalewajko i syn s.c. Sp. J.,441-986-65-24,411871167,PL,Świdnica,31-309,ulica Szpitalna 971,kontakt@ppuh.pl,+48 47 831 20 54,dostawca,Sonia Niksa,2023-06-08,aktywny
115,Grupa Siedlarz-Parkitny s.c. sp. z o.o.,384-842-19-92,356927167,PL,Zamość,92-148,plac Stycznia 53/96,kontakt@grupa.pl,+48 17 785 77 38,oba,Karol Piaseczna,2023-03-03,aktywny
116,Grupa Hankiewicz S.A.,5712082675,612656440,PL,Myszków,65-806,ul. Władysława Łokietka 065,kontakt@grupa.pl,+48 47 428 46 92,klient,Kacper Maksimowicz,2021-07-24,aktywny
117,Matyszczak S.A. sp. z o.o.,8026206721,904236062,PL,Nowa Ruda,85-644,aleja Dolna 58,kontakt@matyszczak.pl,+48 15 109 48 82,oba,pani Janina Buszta,2021-10-05,nieaktywny
118,FPUH Kozon Sp.k. Spółka z o.o.,4788728746,307029662,PL,Piotrków Trybunalski,18-065,pl. Kościuszki 303,kontakt@fpuh.pl,+48 53 266 68 92,dostawca,Jędrzej Korzekwa,2022-08-24,aktywny
119,Fundacja Dulik-Olesiejuk Sp.j. Spółka z o.o.,4932966855,193133974,PL,Przemyśl,05-772,pl. Bema 054,kontakt@fundacja.pl,+48 96 197 33 27,dostawca,Leonard Szulim,2024-03-09,nieaktywny
120,FPUH Żach Sp.j. Sp. z o.o.,4637454995,112279027,PL,Wejherowo,24-509,pl. Kołłątaja 41/61,kontakt@fpuh.pl,+48 94 468 98 40,klient,Grzegorz Hnat,2021-11-19,aktywny
121,Stowarzyszenie Jędrusiak sp. z o.o.,6841459332,243418388,PL,Bytom,42-677,plac Jana III Sobieskiego 62/75,kontakt@stowarzyszenie.pl,+48 30 565 87 57,dostawca,pan Dariusz Dietrich,2025-11-02,aktywny
122,PPUH Roszko Sp. J.,3391878517,705771555,PL,Tarnowskie Góry,82-811,ulica Widok 820,kontakt@ppuh.pl,+48 18 948 80 74,klient,Monika Bielas,2022-03-28,aktywny
