produkt_id,indeks,nazwa,kategoria,jednostka_miary,cena_zakupu,cena_sprzedazy,stawka_vat,ean,producent,status,data_utworzenia
34,PRD-65458,Re-contextualized human-resource parallelism,Sprzęt laboratoryjny,szt,2998.07,5279.58,23,4826028776599,Fundacja Linek-Kieszek Sp.j.,aktywny,2023-12-27
35,PRD-41274,Reactive next generation time-frame,Odczynniki,szt,2427.27,4285.29,23,1287323286003,Hojka-Zimoń Sp. z o.o. Sp.k.,nieaktywny,2026-03-17
36,PRD-17056,Quality-focused directional matrix,Aparatura,pcs,1613.99,2873.7,23,5565071862800,FPUH Mak-Gryka Sp.k.,aktywny,2020-11-07
37,PRD-50000,Focused system-worthy artificial intelligence,Odczynniki,szt,111.87,185.76,23,5282162763460,PPUH Troć,aktywny,2023-11-24
38,PRD-22147,User-friendly client-server time-frame,Podłoża mikrobiologiczne,kpl,2190.83,2911.98,23,3267933997464,Grupa Stąpor-Piersa S.A.,aktywny,2022-04-10
39,PRD-13111,Polarized analyzing info-mediaries,Szkło laboratoryjne,szt,1221.68,1930.03,23%,8873049763236,PPUH Kustosz,aktywny,2026-05-13
40,PRD-50000,Grass-roots asymmetric analyzer,Podłoża mikrobiologiczne,szt,1050.85,1436.5,23,9278764867648,Grupa Glegoła,aktywny,2022-09-15
41,PRD-84432,User-friendly systemic circuit,Szkło laboratoryjne,szt,0,811.5,23,9412011029116,Grupa Chachuła-Kutek Sp.j.,aktywny,2020-09-05
42,PRD-12700,Down-sized clear-thinking migration,Materiały zużywalne,szt,842.45,965.67,23,5498959239690,Makles-Domoń Sp. z o.o.,aktywny,2022-11-09
43,PRD-15686,Programmable content-based adapter,,szt,1230.61,1411.86,23,2165487579219,Heinrich Sp. z o.o.,aktywny,2020-10-16
44,PRD-50000,Organized tangible paradigm,Odczynniki,szt,1180.44,1589.25,23,6143777414268,FPUH Lesisz i syn s.c.,aktywny,2021-12-04
45,PRD-69665,Polarized full-range service-desk,Szkło laboratoryjne,szt,941.48,1247.26,23,3342060533437,PPUH Prawdzik Sp.k.,aktywny,2025-11-08
46,PRD-99736,Upgradable multi-state projection,Podłoża mikrobiologiczne,szt,3040.56,5469.6,23,7287660737837,Gabinety Winek,aktywny,2025-10-06
47,PRD-59515,Polarized executive paradigm,Odczynniki,szt,526.26,586.16,23,9738344247597,Fundacja Zębik-Kohnke Sp. z o.o.,aktywny,2025-08-25
48,PRD-67403,Intuitive cohesive challenge,Materiały zużywalne,szt,1966.97,2767.71,23,2120405648139,Glenc Sp. z o.o.,aktywny,2025-12-11
49,PRD-37929,Customizable even-keeled moratorium,Szkło laboratoryjne,szt,1861.55,2061.37,23,2479775339677,Gabinety Filak Sp.j.,aktywny,2023-01-23
50,PRD-31068,Multi-channeled multi-state support,Odczynniki,szt,2460.82,3771.0,23,9913250001931,Martin s.c.,aktywny,2020-12-29
51,PRD-43149,Public-key stable benchmark,Materiały zużywalne,kpl,1103.27,1255.17,23,8209108152798,Poreda Sp. z o.o.,nieaktywny,2021-07-04
52,PRD-39274,Proactive didactic product,Materiały zużywalne,szt,2582.58,2100.37,23,1539815502867,Fundacja Kuźnia,aktywny,2025-01-27
53,PRD-15249,Fully-configurable bandwidth-monitored installation,Sprzęt laboratoryjny,szt,3116.54,4973.8,23,2884611717260,Marosz-Lesik S.A.,aktywny,2025-12-28
54,PRD-91240,Right-sized maximized hierarchy,Sprzęt laboratoryjny,kpl,3220.41,4613.23,23,6723634737919,Fundacja Filusz,aktywny,2024-12-11
55,PRD-46559,Enhanced value-added system engine,Materiały zużywalne,szt,2882.57,3097.97,23,4365540456248,Grupa Oleksik s.c.,aktywny,2022-08-10
56,PRD-51444,Integrated real-time installation,Materiały zużywalne,szt,1794.99,2792.47,23,5008967906886,Zagożdżon-Domka s.c.,aktywny,2025-04-10
57,PRD-50000,Compatible background orchestration,Podłoża mikrobiologiczne,szt,3586.14,3788.13,23,2312691846253,Okła-Piotrkowicz Sp.k.,aktywny,2022-10-08
58,PRD-34367,Triple-buffered optimizing project,Odczynniki,opak,1837.25,2834.05,23,7315089552848,PPUH Kiełbowicz-Kołaczyk s.c.,aktywny,2024-06-18
59,PRD-98312,Down-sized tangible application,Materiały zużywalne,szt,2877.36,4652.18,23,5966128864833,Bryda S.A.,nieaktywny,2020-12-17
60,PRD-77652,Stand-alone 24/7 methodology,Podłoża mikrobiologiczne,szt,1803.45,3163.79,23,9020478535028,Strawa Sp.j.,aktywny,2026-03-15
61,PRD-87046,Monitored content-based utilization,Sprzęt laboratoryjny,szt,3498.74,5085.54,23,1553728613573,Kaźmierczyk-Kiwior S.A.,aktywny,2025-08-31
62,PRD-11199,Team-oriented content-based instruction set,,szt,3119.61,4864.57,23,9698641741882,Dryka i syn s.c.,aktywny,2021-04-27
63,PRD-48672,Front-line asynchronous leverage,Aparatura,szt,3948.73,6462.96,23,7457241063722,Gabinety Bylina-Achtelik Sp. z o.o. Sp.k.,aktywny,2020-09-24
64,PRD-13012,Reduced 5thgeneration system engine,Podłoża mikrobiologiczne,szt,3570.56,4497.54,23,69040201540,Kędziorek Sp.k.,aktywny,2025-02-21
65,PRD-43700,Robust analyzing encryption,Materiały zużywalne,pcs,1936.48,2791.17,23,3218064579375,FPUH Gierak s.c.,aktywny,2023-12-06
66,PRD-17771,Multi-channeled value-added frame,Podłoża mikrobiologiczne,szt,3295.78,5836.47,23,8290915780558,PPUH Pęciak,aktywny,2021-11-05
67,PRD-75808,Managed motivating definition,,szt,3221.79,5750.08,23,82460707421,FPUH Sąsiadek,aktywny,2024-03-20
68,PRD-47390,Front-line systemic policy,Podłoża mikrobiologiczne,szt,1855.66,2013.86,23,4944041657331,PPUH Krauza-Zaguła Sp. z o.o.,aktywny,2020-11-19
69,PRD-59310,Distributed mission-critical focus group,Podłoża mikrobiologiczne,szt,1857.01,2137.33,23,9494907848762,Halik-Rorat S.A.,aktywny,2023-06-08
70,PRD-17843,Digitized fresh-thinking time-frame,Sprzęt laboratoryjny,szt,2404.87,3987.65,23 %,5587270087289,Grupa Mila,aktywny,2023-02-10
71,PRD-70822,Future-proofed asymmetric policy,Aparatura,szt,2056.14,2314.86,23,5591933069455,Kolber-Kozdroń Sp. z o.o.,aktywny,2022-05-12
72,PRD-79126,Self-enabling user-facing extranet,Odczynniki,szt,1138.1,1214.07,23,2040205213152,Gabinety Sąsiadek S.A.,aktywny,2025-05-02
73,PRD-27812,Customer-focused tertiary contingency,Sprzęt laboratoryjny,pcs,3072.38,3890.58,23,2702402997105,Kacperek-Pieczyrak Sp. z o.o.,aktywny,2021-12-15
74,PRD-20574,Decentralized tangible moratorium,Aparatura,szt,668.37,885.86,23,1378201374711,Spółdzielnia Szałata s.c.,aktywny,2023-04-10
75,PRD-35927,Fundamental heuristic firmware,Podłoża mikrobiologiczne,szt,-3614.6,5043.16,23,3722334422771,Ławniczek S.A.,aktywny,2024-10-31
76,PRD-13713,Up-sized zero administration open architecture,Podłoża mikrobiologiczne,szt,3225.23,4520.96,23,4695091806670,Stowarzyszenie Duszkiewicz,aktywny,2024-02-04
77,PRD-30294,Cross-platform foreground info-mediaries,Sprzęt laboratoryjny,szt,370.18,568.99,23,2284725530444,Smykała-Myszk s.c.,aktywny,2023-06-14
78,PRD-87577,Fully-configurable 24/7 throughput,Odczynniki,szt.,441.34,485.41,23 %,3420815700498,PPUH Żuchowicz s.c.,aktywny,2020-09-08
79,PRD-62692,Switchable user-facing Graphical User Interface,Podłoża mikrobiologiczne,szt,1957.76,2419.57,23,4588801905436,Grupa Polnik-Miksza Sp.j.,aktywny,2020-12-05
80,PRD-19881,Total stable function,Podłoża mikrobiologiczne,szt,1445.12,1656.75,23,5657072947792,Gabinety Szmuc,aktywny,2025-04-24
81,PRD-42026,Public-key maximized challenge,Podłoża mikrobiologiczne,szt,3137.78,4324.82,23,7432804964289,FPUH Płaneta,aktywny,2023-07-15
82,PRD-65629,Realigned value-added pricing structure,Odczynniki,szt,2680.75,3450.05,23,2913018622431,Gabinety Balas-Pawliszyn Sp. z o.o.,nieaktywny,2024-01-24
83,PRD-90099,Persevering mission-critical productivity,Materiały zużywalne,szt,2673.96,4053.4,23,8267693128845,Cymer-Drwięga i syn s.c.,aktywny,2021-07-07
84,PRD-53181,Cross-group intangible initiative,Materiały zużywalne,szt,2138.08,3609.64,23,8714661721491,Grupa Bryja-Sabak S.A.,aktywny,2024-02-10
85,PRD-79463,Extended regional leverage,Sprzęt laboratoryjny,opak,2143.58,2498.7,23,7488084396139,Roszkiewicz-Pezda Sp. z o.o.,aktywny,2021-10-02
86,PRD-96102,Polarized system-worthy challenge,Materiały zużywalne,szt,1082.5,1633.53,23,1553911139065,Wojewódka Sp.k.,aktywny,2022-09-15
87,PRD-58554,Face-to-face tertiary frame,Szkło laboratoryjne,szt,538.6,705.84,23,9990860395630,Stochaj S.A.,aktywny,2022-11-14
88,PRD-92389,Integrated clear-thinking projection,Materiały zużywalne,kpl,3796.28,6083.95,23,9934268110879,Krajniak-Ciesiółka Sp.k.,aktywny,2024-04-29
89,PRD-51438,Future-proofed bandwidth-monitored solution,Odczynniki,szt,116.93,193.45,23,9748302313032,PPUH Dej-Kaletka i syn s.c.,aktywny,2026-04-05
90,PRD-50000,Up-sized discrete workforce,Aparatura,szt,356.68,558.06,23,4727208247149,Giersz Sp.k.,aktywny,2023-11-12
91,PRD-46765,Fully-configurable contextually-based superstructure,Podłoża mikrobiologiczne,szt,3648.72,4811.19,23,9326658387681,Witko-Bojczuk Sp. z o.o. Sp.k.,aktywny,2025-12-20
92,PRD-45844,Advanced bandwidth-monitored moratorium,Szkło laboratoryjne,szt,1016.18,1660.39,23,5653126845116,Kosman i syn s.c.,aktywny,2023-04-23
93,PRD-16929,Integrated explicit flexibility,Odczynniki,szt,140.53,192.58,23 %,1152191139837,Półchłopek-Majtczak s.c.,aktywny,2026-07-11
94,PRD-61140,Future-proofed coherent secured line,Materiały zużywalne,szt,3495.79,6092.97,23,8643093317849,Snoch Sp.k.,aktywny,2025-09-08
95,PRD-37248,Grass-roots dynamic workforce,Aparatura,szt,1459.8,1932.42,23,7682129284559,Grupa Wieja,aktywny,2021-09-08
96,PRD-43313,Right-sized fault-tolerant intranet,Odczynniki,szt,563.16,600.67,23,3763673107495,Stowarzyszenie Kurczab Sp. z o.o.,aktywny,2023-05-26
97,PRD-35967,Decentralized static support,Szkło laboratoryjne,szt,3240.26,4263.12,23 %,1766372763843,Fundacja Szrama-Samson Sp. z o.o. Sp.k.,aktywny,2025-06-05
98,PRD-90543,Operative even-keeled access,Sprzęt laboratoryjny,sztuka,246.48,412.95,23,9243128319330,Gabinety Burnat-Szyda Sp. z o.o.,aktywny,2022-03-02
99,PRD-97612,Integrated modular hardware,Odczynniki,szt,1591.57,1833.58,23,9391106217404,Namysł-Brojek s.c.,aktywny,2021-12-14
100,PRD-38522,Triple-buffered asymmetric core,Sprzęt laboratoryjny,szt,2744.12,4473.98,23,2032388731947,Grupa Kuryś Sp. z o.o. Sp.k.,aktywny,2023-02-24
101,PRD-86610,Sharable client-driven framework,Materiały zużywalne,szt,2999.33,2105.75,23,5550651697411,Grupa Frymus,nieaktywny,2022-04-17
102,PRD-30354,Sharable regional approach,,szt,1842.42,2726.61,23,5273168821527,Gabinety Komsta-Karkut i syn s.c.,aktywny,2026-02-27
103,PRD-64282,Compatible static time-frame,Podłoża mikrobiologiczne,szt,0,2956.52,23,6911002700648,Sprawka Sp.k.,nieaktywny,2023-12-29
104,PRD-56444,Exclusive foreground info-mediaries,Podłoża mikrobiologiczne,szt,2419.97,3899.4,23,7230379113514,PPUH Giers,aktywny,2026-03-30
105,PRD-35302,Enterprise-wide value-added orchestration,,szt,3504.01,4134.65,23,9672007957926,Spółdzielnia Myszak-Wisła S.A.,aktywny,2023-10-15
106,PRD-28838,Front-line mission-critical implementation,Aparatura,szt,2725.81,4626.72,23%,2875738264672,Fundacja Rasała Sp.k.,aktywny,2022-01-17
107,PRD-46681,Optimized radical conglomeration,Odczynniki,szt,3400.78,5947.39,23,4750199663119,Nieradko-Dela S.A.,aktywny,2022-11-24
108,PRD-26953,Focused national info-mediaries,Aparatura,szt,1579.58,2447.16,23,2801255437498,Nojman Sp. z o.o. Sp.k.,aktywny,2023-08-05
109,PRD-46277,Cross-group asymmetric product,Odczynniki,sztuka,2843.42,4620.09,23,7854437158990,Gabinety Dynak-Zimoląg s.c.,aktywny,2024-09-01
110,PRD-59515,Synergistic 3rdgeneration process improvement,Sprzęt laboratoryjny,szt,401.7,471.0,23,2398031787747,Ochwat-Kołodziejak Sp. z o.o. Sp.k.,nieaktywny,2020-09-26
111,PRD-27204,De-engineered even-keeled projection,Szkło laboratoryjne,szt,1404.11,2461.82,23,1666415437534,Pałgan-Szymula Sp.j.,aktywny,2023-10-31
112,PRD-56728,Optimized systematic conglomeration,Sprzęt laboratoryjny,szt,2718.29,3544.33,23,3374890882830,FPUH Mrózek-Bździuch Sp.j.,aktywny,2025-04-08
113,PRD-33928,Ergonomic dedicated workforce,Sprzęt laboratoryjny,szt,1964.02,3232.66,23,4696356015137,FPUH Wydmuch,aktywny,2023-07-13
114,PRD-93722,Public-key real-time emulation,Aparatura,szt,872.01,1407.43,23,3344139621618,Fabiszak-Skutnik Sp.j.,aktywny,2026-05-23
115,PRD-85820,Multi-layered bi-directional support,Sprzęt laboratoryjny,szt,3853.74,5803.48,23,7064315653196,Fundacja Zaniewicz-Bogusiewicz Sp. z o.o. Sp.k.,aktywny,2020-09-09
116,PRD-67805,Upgradable 5thgeneration middleware,Sprzęt laboratoryjny,szt,556.12,584.52,23,5527186351824,Gabinety Pietrewicz Sp. z o.o. Sp.k.,aktywny,2023-05-18
117,PRD-60510,Horizontal context-sensitive forecast,Szkło laboratoryjne,opak,3815.27,6000.2,23,7042294492245,Woźniczko-Gozdur S.A.,aktywny,2026-02-16
118,PRD-72443,Networked regional challenge,Sprzęt laboratoryjny,szt,277.79,479.73,23,7262175470951,Stowarzyszenie Kaszkowiak-Kobos Sp.j.,aktywny,2022-09-27
119,PRD-13974,Future-proofed demand-driven Graphical User Interface,Podłoża mikrobiologiczne,pcs,266.65,370.61,23,7360795642112,Orzeszek i syn s.c.,aktywny,2022-11-28
120,PRD-39849,Monitored cohesive task-force,Odczynniki,szt,3365.98,4713.4,23,3293436968013,FPUH Sznura-Zemanek s.c.,aktywny,2022-09-20
121,PRD-50000,Multi-layered real-time flexibility,Podłoża mikrobiologiczne,szt,3556.91,4468.79,23,1907697896576,Gabinety Fitas i syn s.c.,aktywny,2022-05-08
122,PRD-58905,Advanced dynamic open system,Szkło laboratoryjne,kpl,2739.03,3808.35,23,8246251400366,Gabinety Tomal i syn s.c.,aktywny,2020-10-06
123,PRD-29758,Optimized executive Graphic Interface,Sprzęt laboratoryjny,szt,6.03,6.6,23,2500994815835,Kolber-Czuj Sp. z o.o.,aktywny,2021-12-01
124,PRD-46605,Phased impactful groupware,Materiały zużywalne,szt,2092.17,3523.11,23,5312920206411,Bekus Sp.j.,aktywny,2024-03-08
125,PRD-27223,Decentralized neutral model,Sprzęt laboratoryjny,opak,2283.09,3719.88,23,2323750603342,Kondej-Wdowczyk i syn s.c.,aktywny,2026-05-06
126,PRD-25071,Reverse-engineered optimizing Graphical User Interface,Aparatura,szt,2887.72,5081.11,23,8835569879487,Spółdzielnia Galica,aktywny,2020-11-21
127,PRD-82194,Profound logistical data-warehouse,Szkło laboratoryjne,szt,794.81,951.75,23,1998744947381,Stowarzyszenie Trochim,aktywny,2020-08-04
128,PRD-18786,Upgradable reciprocal project,Aparatura,szt,3544.53,4474.11,23,1207602485035,FPUH Wyderka s.c.,aktywny,2023-09-11
129,PRD-13148,Optional intermediate knowledge user,Odczynniki,szt,491.45,597.49,23,9681946522109,PPUH Domowicz-Sygut Sp. z o.o. Sp.k.,aktywny,2026-05-05
130,PRD-54652,Persevering 3rdgeneration installation,Podłoża mikrobiologiczne,szt,2804.17,3963.54,23%,6946559215867,Barej Sp.k.,nieaktywny,2020-08-12
131,PRD-22709,Stand-alone 3rdgeneration Internet solution,Materiały zużywalne,szt,2352.87,3485.26,23,1757354166163,Grupa Leśko-Piekara Sp. z o.o. Sp.k.,aktywny,2025-06-19
132,PRD-64041,Secured leadingedge artificial intelligence,,szt,708.02,875.17,23,3252252271769,Kwasek i syn s.c.,aktywny,2026-03-08
133,PRD-80802,Extended multi-tasking firmware,Odczynniki,szt,1719.85,2243.26,23,3365194675637,Grupa Wieczerzak Sp.j.,aktywny,2023-02-03
134,PRD-96786,Polarized heuristic instruction set,Materiały zużywalne,kpl,2606.95,3265.97,23,1811376464776,FPUH Kopyto Sp. z o.o.,aktywny,2023-06-19
135,PRD-73831,Streamlined global archive,Aparatura,szt,3627.13,4206.3,23%,4542788897356,FPUH Soroko-Gregorek Sp. z o.o.,aktywny,2023-10-09
136,PRD-59500,Synergized bandwidth-monitored info-mediaries,Aparatura,szt,430.94,339.37,23,8765444805262,FPUH Cherek Sp. z o.o. Sp.k.,aktywny,2025-04-06
137,PRD-57173,Re-contextualized uniform software,Szkło laboratoryjne,szt,2256.74,3614.92,23,8852551694983,Turlej-Gogół Sp.k.,aktywny,2021-05-27
138,PRD-61811,Expanded holistic pricing structure,Podłoża mikrobiologiczne,szt,3831.16,4269.95,23,9050644558283,PPUH Bluszcz Sp. z o.o. Sp.k.,aktywny,2025-05-14
139,PRD-68667,Ameliorated even-keeled Graphic Interface,Szkło laboratoryjne,szt,1162.34,1300.35,23,8918111786212,Bona Sp. z o.o. Sp.k.,aktywny,2024-02-11
140,PRD-19500,Open-source incremental strategy,Sprzęt laboratoryjny,szt,870.42,1222.53,23,2927768197866,Gabinety Radziewicz-Nowotka Sp. z o.o. Sp.k.,aktywny,2023-07-17
141,PRD-78358,Integrated 6thgeneration challenge,Sprzęt laboratoryjny,szt,1428.71,2218.07,0.23,8717783494263,Spółdzielnia Faltyn,aktywny,2023-08-04
142,PRD-73238,Realigned intermediate archive,Podłoża mikrobiologiczne,opak,1764.38,2239.96,23,4532993628428,Gabinety Kuffel s.c.,aktywny,2021-04-28
143,PRD-58925,Reverse-engineered composite groupware,Aparatura,szt,3208.19,5384.95,23,3454958161369,Grupa Kubiaczyk Sp. z o.o.,aktywny,2023-01-12
144,PRD-30845,De-engineered full-range approach,Aparatura,szt,2674.58,1935.7,23,4667699473682,Cudzich-Malara i syn s.c.,nieaktywny,2026-02-14
145,PRD-73408,Triple-buffered mobile interface,Sprzęt laboratoryjny,szt,475.65,629.36,23,2275558073923,Rudyk-Zacharewicz i syn s.c.,aktywny,2023-05-09
146,PRD-54749,Innovative multimedia utilization,Aparatura,szt,24.41,35.75,23,9902005763502,Gill Sp.j.,aktywny,2024-06-21
147,PRD-40687,Virtual web-enabled encryption,Sprzęt laboratoryjny,szt,3151.75,3581.5,23,54516854070,FPUH Sądej-Burchard S.A.,aktywny,2024-11-29
148,PRD-80733,Virtual value-added installation,Podłoża mikrobiologiczne,szt,1525.73,1609.92,23,1016553123875,Gabinety Wesoły-Tomaszuk Sp.j.,aktywny,2024-04-19
149,PRD-37899,Exclusive fresh-thinking migration,Aparatura,szt,3667.91,6082.86,23 %,4616163739610,Spółdzielnia Talaśka,aktywny,2023-07-28
150,PRD-42229,Up-sized attitude-oriented adapter,Podłoża mikrobiologiczne,szt,297.33,515.17,23,6950272011353,Nieradzik i syn s.c.,aktywny,2021-12-17
151,PRD-80268,Digitized leadingedge neural-net,Materiały zużywalne,szt,2355.29,3043.94,23,1489477145271,Fundacja Boksa-Borkiewicz Sp. z o.o.,aktywny,2021-01-17
152,PRD-45698,Seamless solution-oriented database,Aparatura,szt,1707.63,1824.89,23,5351831002496,Dering Sp. z o.o. Sp.k.,aktywny,2020-11-28
153,PRD-87496,Stand-alone motivating hub,Odczynniki,szt,3971.5,3615.42,23,9588476348402,Borak-Cięciwa Sp.j.,nieaktywny,2023-09-28
154,PRD-20806,Persevering grid-enabled moderator,Podłoża mikrobiologiczne,szt,791.92,1164.02,0.23,7712618234034,Gabinety Cimoch Sp. z o.o.,aktywny,2025-09-12
155,PRD-56895,Extended human-resource Graphic Interface,Aparatura,szt,1749.47,2985.02,23,9618744686671,Spółdzielnia Gomuła S.A.,aktywny,2020-08-17
156,PRD-59106,User-friendly interactive data-warehouse,Szkło laboratoryjne,szt,2957.52,3670.95,23,8548134984091,Stowarzyszenie Malcharek,aktywny,2022-03-26
157,PRD-75466,Horizontal didactic product,Materiały zużywalne,szt,1165.43,1695.01,23,5819241363542,Stowarzyszenie Helman-Beker i syn s.c.,aktywny,2026-03-26
158,PRD-18325,Right-sized homogeneous synergy,Materiały zużywalne,szt,1449.38,1776.07,23,9806843811533,Wujek-Wyrobek s.c.,aktywny,2025-04-01
159,PRD-84967,Compatible systematic collaboration,Sprzęt laboratoryjny,szt,832.92,1035.89,23,3397283383592,Olko-Korda Sp.j.,aktywny,2023-01-05
160,PRD-78701,Synergistic intangible array,Sprzęt laboratoryjny,opak,2307.09,3435.08,23,6523854819071,FPUH Penar Sp.k.,aktywny,2020-10-28
161,PRD-26111,Business-focused local definition,Sprzęt laboratoryjny,szt,62.12,97.78,0.23,1118953586489,Gaś Sp.j.,aktywny,2023-08-15
162,PRD-56020,Innovative even-keeled help-desk,Aparatura,szt,3792.56,4717.66,23,9498860105390,Fundacja Garbaciak Sp.j.,aktywny,2023-07-17
163,PRD-95184,Enhanced systematic installation,Podłoża mikrobiologiczne,szt,446.3,786.81,23,7869284237748,Bąkiewicz-Dreszer Sp.j.,aktywny,2024-02-05
164,PRD-40234,Organic national functionalities,Szkło laboratoryjne,szt,1673.67,2496.82,23,66610496570,Łyp s.c.,aktywny,2024-01-14
165,PRD-74428,Reactive real-time matrix,,pcs,1485.48,2287.17,23,8919688239737,Stowarzyszenie Kurbiel Sp.j.,aktywny,2025-01-14
166,PRD-66757,Visionary holistic pricing structure,Aparatura,szt,3729.19,6199.09,0.23,9453576715744,FPUH Jaszczyszyn,nieaktywny,2021-01-30
167,PRD-75553,Streamlined disintermediate forecast,Podłoża mikrobiologiczne,szt,2250.74,2575.5,23,3459473339363,FPUH Potyrała-Nazimek s.c.,aktywny,2024-01-17
